,pred,lower_bound,upper_bound,pred_round,SKU,LOC,Venta_real
2019-06-14,0.9259259259259259,0.0,3.0,1.0,Art07,LOC_001,0.0
2019-06-15,0.9259259259259259,0.0,4.0,1.0,Art07,LOC_001,1.0
2019-06-16,0.8518518518518519,0.0,2.9999999999999996,1.0,Art07,LOC_001,1.0
2019-06-17,0.8518518518518519,0.0,2.9999999999999996,1.0,Art07,LOC_001,1.0
2019-06-18,0.8518518518518519,0.0,2.9999999999999996,1.0,Art07,LOC_001,0.0
2019-06-19,0.8518518518518519,0.0,2.9999999999999996,1.0,Art07,LOC_001,0.0
2019-06-20,0.8518518518518519,0.0,2.9999999999999996,1.0,Art07,LOC_001,0.0
2019-06-21,0.8333333333333334,0.0,2.049999999999997,1.0,Art07,LOC_001,2.0
2019-06-22,0.8518518518518519,0.0,3.049999999999997,1.0,Art07,LOC_001,2.0
2019-06-14,0.49122807017543857,0.0,1.0,0.0,Art08,LOC_001,0.0
2019-06-15,0.49122807017543857,0.0,2.0,0.0,Art08,LOC_001,2.0
2019-06-16,0.49122807017543857,0.0,2.0,0.0,Art08,LOC_001,0.0
2019-06-17,0.49122807017543857,0.0,2.0,0.0,Art08,LOC_001,0.0
2019-06-18,0.45614035087719296,0.0,2.0,0.0,Art08,LOC_001,1.0
2019-06-19,0.45614035087719296,0.0,2.0,0.0,Art08,LOC_001,0.0
2019-06-20,0.47368421052631576,0.0,2.0,0.0,Art08,LOC_001,0.0
2019-06-21,0.47368421052631576,0.0,2.0,0.0,Art08,LOC_001,0.0
2019-06-22,0.49122807017543857,0.0,1.0,0.0,Art08,LOC_001,1.0
2019-06-13,0.6491228070175439,0.0,2.0,1.0,Art02,LOC_001,0.0
2019-06-14,0.631578947368421,0.0,2.0,1.0,Art02,LOC_001,0.0
2019-06-15,0.6491228070175439,0.0,2.0,1.0,Art02,LOC_001,1.0
2019-06-16,0.6491228070175438,0.0,3.0,1.0,Art02,LOC_001,0.0
2019-06-17,0.6842105263157894,0.0,3.049999999999997,1.0,Art02,LOC_001,0.0
2019-06-18,0.6666666666666666,0.0,3.0,1.0,Art02,LOC_001,0.0
2019-06-19,0.6842105263157895,0.0,3.0,1.0,Art02,LOC_001,0.0
2019-06-20,0.6491228070175439,0.0,2.0,1.0,Art02,LOC_001,0.0
2019-06-21,0.6140350877192983,1.1102230246251565e-16,3.0,1.0,Art02,LOC_001,2.0
2019-06-14,1.3272727272727272,0.0,6.0,1.0,Art01,LOC_001,0.0
2019-06-15,1.3818181818181818,2.220446049250313e-16,3.0,1.0,Art01,LOC_001,0.0
2019-06-16,1.4363636363636363,0.0,6.0,1.0,Art01,LOC_001,6.0
2019-06-17,1.4363636363636363,0.0,3.0,1.0,Art01,LOC_001,1.0
2019-06-18,1.4363636363636363,0.0,3.049999999999997,1.0,Art01,LOC_001,2.0
2019-06-19,1.4545454545454546,0.0,6.000000000000002,1.0,Art01,LOC_001,0.0
2019-06-20,1.4363636363636363,0.0,4.0,1.0,Art01,LOC_001,0.0
2019-06-21,1.4363636363636363,0.0,3.049999999999997,1.0,Art01,LOC_001,2.0
2019-06-22,1.4363636363636363,0.0,4.099999999999994,1.0,Art01,LOC_001,1.0
2019-06-14,1.1754385964912282,2.220446049250313e-16,3.0,1.0,Art06,LOC_001,1.0
2019-06-15,1.1754385964912282,2.220446049250313e-16,4.0,1.0,Art06,LOC_001,2.0
2019-06-16,1.1578947368421053,2.220446049250313e-16,4.0,1.0,Art06,LOC_001,2.0
2019-06-17,1.1754385964912282,2.220446049250313e-16,4.0,1.0,Art06,LOC_001,1.0
2019-06-18,1.1754385964912282,2.220446049250313e-16,4.0,1.0,Art06,LOC_001,3.0
2019-06-19,1.2456140350877192,0.0,5.0,1.0,Art06,LOC_001,1.0
2019-06-20,1.263157894736842,0.0,4.0,1.0,Art06,LOC_001,1.0
2019-06-21,1.280701754385965,2.220446049250313e-16,3.0,1.0,Art06,LOC_001,2.0
2019-06-22,1.3157894736842106,2.220446049250313e-16,4.0,1.0,Art06,LOC_001,3.0
2019-06-13,0.5,0.0,2.0,0.0,Art03,LOC_001,0.0
2019-06-14,0.5192307692307692,0.0,2.049999999999997,1.0,Art03,LOC_001,0.0
2019-06-15,0.5,0.0,3.0,0.0,Art03,LOC_001,3.0
2019-06-16,0.5384615384615384,0.0,2.0,1.0,Art03,LOC_001,1.0
2019-06-17,0.5192307692307692,0.0,2.0,1.0,Art03,LOC_001,0.0
2019-06-18,0.5384615384615384,0.0,2.049999999999997,1.0,Art03,LOC_001,0.0
2019-06-19,0.5192307692307692,0.0,2.0,1.0,Art03,LOC_001,0.0
2019-06-20,0.5192307692307693,0.0,2.0,1.0,Art03,LOC_001,1.0
2019-06-21,0.5,0.0,3.0,0.0,Art03,LOC_001,2.0
2019-06-02,0.11363636363636363,0.0,1.0,0.0,Art10,LOC_001,0.0
2019-06-03,0.13636363636363635,0.0,0.04999999999999713,0.0,Art10,LOC_001,1.0
2019-06-04,0.13636363636363635,0.0,1.0,0.0,Art10,LOC_001,1.0
2019-06-05,0.13636363636363638,0.0,1.0000000000000002,0.0,Art10,LOC_001,0.0
2019-06-06,0.11363636363636363,0.0,1.0,0.0,Art10,LOC_001,0.0
2019-06-07,0.11363636363636363,0.0,1.0,0.0,Art10,LOC_001,0.0
2019-06-08,0.11363636363636363,0.0,1.0,0.0,Art10,LOC_001,0.0
2019-06-09,0.09090909090909091,0.0,1.0,0.0,Art10,LOC_001,0.0
2019-06-10,0.11363636363636362,0.0,1.0,0.0,Art10,LOC_001,1.0
2019-06-09,0.2,0.0,1.0,0.0,Art09,LOC_001,0.0
2019-06-10,0.2,0.0,1.0,0.0,Art09,LOC_001,1.0
2019-06-11,0.18,0.0,1.0,0.0,Art09,LOC_001,0.0
2019-06-12,0.18,0.0,1.0,0.0,Art09,LOC_001,1.0
2019-06-13,0.15999999999999998,0.0,1.0,0.0,Art09,LOC_001,0.0
2019-06-14,0.15999999999999998,0.0,1.0,0.0,Art09,LOC_001,0.0
2019-06-15,0.15999999999999998,0.0,1.0,0.0,Art09,LOC_001,0.0
2019-06-16,0.15999999999999998,0.0,1.0,0.0,Art09,LOC_001,0.0
2019-06-17,0.17999999999999997,0.0,0.9999999999999998,0.0,Art09,LOC_001,1.0
2019-06-14,0.3793103448275862,0.0,1.0,0.0,Art04,LOC_001,0.0
2019-06-15,0.3793103448275862,0.0,2.0,0.0,Art04,LOC_001,0.0
2019-06-16,0.396551724137931,0.0,2.0,0.0,Art04,LOC_001,0.0
2019-06-17,0.41379310344827586,0.0,2.0,0.0,Art04,LOC_001,0.0
2019-06-18,0.4137931034482758,0.0,2.0,0.0,Art04,LOC_001,0.0
2019-06-19,0.4137931034482758,0.0,2.0,0.0,Art04,LOC_001,0.0
2019-06-20,0.396551724137931,0.0,2.0,0.0,Art04,LOC_001,1.0
2019-06-21,0.396551724137931,0.0,2.0,0.0,Art04,LOC_001,0.0
2019-06-22,0.396551724137931,0.0,2.0,0.0,Art04,LOC_001,4.0
